adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,akaryakit_dagitim_sirketi_tnm,lpg_dagitim_sirketi,lpg_dagitim_sirketi_tnm,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longitude
GÜNEŞLİ PETROLCÜLÜK GIDA MADDELERİ VE TİCARET LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,22,KadOil,10,Aygaz,1,Aktif,2004,BAĞCILAR,40155,BAĞLAR,28.82300003,41.03131234
FULYA AKARYAKIT TİC. VE SAN. A.Ş.,1,Akaryakıt,10,Opet,,Bilinmiyor,1,Aktif,1183,BEŞİKTAŞ,40221,DİKİLİTAŞ,28.99931091,41.05508747
ÇINAR AKARYAKIT OTOMOTİV İNŞAAT TARIM VE HAYVAN.SAN.VE TİC.LTD.ŞTİ.,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,29.23630356,40.88624820
SÜRPA YAPI İNŞAAT OFSET MATBAACILIK HİZMETLERİ LİMİTED ŞİRKETİ,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1782,BÜYÜKÇEKMECE,40929,KAMİLOBA,28.44583136,41.03538576
BİLGİN PETROL ÜRÜN.PAZ.İNŞ.SAN.VE TİC.A.Ş.,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2050,BAŞAKŞEHİR,40584,ŞAHİNTEPE,28.74609478,41.06378245
AKCEYLAN PETROL TURZ. SAN. VE TİC. A.Ş.,1,Akaryakıt,,Bilinmiyor,,Bilinmiyor,1,Aktif,2004,BAĞCILAR,40169,15 TEMMUZ,28.81448575,41.03098273
BİRBİLEN PETROL VE ORMAN ÜRN.SAN.VETİC.LTD.ŞTİ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2054,SANCAKTEPE,40579,ABDURRAHMANGAZİ,29.22312900,40.99270409
AKARYAKIT PAZ.SAN.VE TİC.A.Ş.,1,Akaryakıt,12,Petrol Ofisi,,Bilinmiyor,1,Aktif,1421,KADIKÖY,40520,GÖZTEPE,29.06863687,40.98153282
" SHELL PETROL ANONİM ŞİRKETİ",2,Akaryakıt Lpg,13,Shell-Turcas Petrol,,Bilinmiyor,1,Aktif,1166,BAKIRKÖY,40199,ŞENLİKKÖY,28.79598148,40.98799075
MUSTAFA VEDAT AKGÜN PETROL ÜRÜN.PAZ.VE DAĞ.LTD.ŞTİ.,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1886,BAYRAMPAŞA,40206,TERAZİDERE,28.89697833,41.03408268
