name,latitude,longitude
İsimsiz Eczane,41.0126599,28.9560174
İsimsiz Eczane,41.0117500,29.0139259
İsimsiz Eczane,41.0084096,29.0361989
Zümrütevler Eczanesi,40.9459641,29.1522217
Şifa Eczanesi,40.9449632,29.1519588
Bilim Eczanesi,40.9470419,29.1530746
Zümrütevler Eczanesi,40.9426495,29.1497943
Nural Eczanesi,41.0155146,28.9300811
Şifa Eczanesi,41.0153871,28.9308992
Olgun Eczanesi,41.0133410,28.9321518
Kanaat Eczanesi,41.0145574,28.9287239
Aytu Eczanesi,41.0126251,28.9335451
Sisli Baran,41.0593241,28.9921763
Bizim Eczane,41.0150958,28.9286334
تكين ميديكال,41.0149419,28.9327124
İsimsiz Eczane,41.0288731,28.9820042
Sıhhat Eczanesi,41.0284635,28.9798078
İsimsiz Eczane,41.0312840,28.9828067
Kuzey,41.0059012,29.1383075
İsimsiz Eczane,41.0047827,29.1405468
İsimsiz Eczane,41.0325225,28.9832455
İsimsiz Eczane,41.0012260,29.0701683
İsimsiz Eczane,40.9985418,29.0738805
İsimsiz Eczane,40.9969992,29.0734674
Gönül Eczanesi,41.1218778,29.0703877
Çınar Eczanesi,41.0813139,29.0267865
DUYGU ECZANESİ,40.9924570,28.7816000
UMUT ECZANESİ,40.9927100,28.7816880
AYŞEM ECZANESİ,40.9925980,28.7815070
Eczane Yüce,40.9923460,28.7818320
Asu Eczanesi,41.0097757,28.8007912
Santral Eczane Optik,41.0242528,29.0843732
Cevher Eczanesi,41.0147933,29.0379158
Yıldız Eczane,41.0400782,28.9852643
İsimsiz Eczane,41.0505077,29.0760386
İsimsiz Eczane,41.0462922,29.0760654
İsimsiz Eczane,41.0463427,29.0758750
Eczane Pozitif,41.0496601,29.0769291
İsimsiz Eczane,41.0165332,29.0326452
Park Eczanesi,41.0049927,28.6266188
Büyük Eczane,41.0436129,29.0440061
Eczane Hülya,41.0435198,29.0439174
ertürk eczanesi,40.9018714,29.1911374
İsimsiz Eczane,41.0217113,29.1920150
İsimsiz Eczane,41.0672731,29.0005374
Çekmeköy Eczanesi,41.0183176,29.1922136
Story Eczanesi,41.0182570,28.6468343
Öndersev Eczanesi,40.9837571,29.0719645
Eltes Eczanesi,41.0113233,29.1793009
Ömür Eczanesi,41.0878639,29.0140955
İsimsiz Eczane,41.0987875,28.9067801
Havuzbaşı Eczanesi,41.0565471,28.9140331
Barış Eczanesi,40.9851425,28.8498168
Eczane Şeyma Caner,40.9727942,29.0407907
Sarissa,40.9991424,29.1414146
Eczane,41.0201321,28.6554807
Feneryolu Eczanesi,40.9799848,29.0489869
Gümüş Eczanesi,40.9778051,29.0476473
4. Levent,41.0868133,29.0064103
İkizler Eczanesi,41.1970123,29.0288781
Arda,40.9391652,29.1185032
Figen,40.9400142,29.1194125
Gaye,40.9453161,29.1255017
Gülen,40.9461042,29.1254628
Kumköy Eczanesi,41.2453134,29.0366947
İsimsiz Eczane,40.9011406,29.1673590
İsimsiz Eczane,40.9010953,29.1670475
İsimsiz Eczane,41.0084673,28.6972441
Eczane Tanyer,40.9738646,29.0558461
Eczane Tuğçe,40.9724712,29.0545397
Seda Eczanesi,41.0255713,29.0923384
Çağrı Eczanesi,41.0165245,28.8721548
Bülent Eczanesi,41.0221053,28.9755490
Yeni Burak Eczanesi,40.9790321,29.0908661
Seyhan Eczanesi,40.9762231,29.0921923
Sıraselviler Eczanesi,40.9754587,29.0915674
Özgüneş Eczanesi,40.9766666,29.0959634
Taksim Meydan Eczanesi,41.0377775,28.9840098
Sezer Eczanesi,41.0213189,28.9413345
İsimsiz Eczane,40.9974194,28.8672610
Eczane,41.0239491,28.9751964
Bahadır Eczanesi,40.9996814,28.8574152
Armağan Eczanesi,41.0032713,28.8596408
İsimsiz Eczane,41.0572384,28.9551489
İsimsiz Eczane,41.0324637,29.1033051
İsimsiz Eczane,41.0326499,29.1032488
Güven Eczanesi,41.0334572,29.1030530
İsimsiz Eczane,41.0333439,29.1030878
İsimsiz Eczane,41.0332508,29.1031147
İsimsiz Eczane,41.0331780,29.1031549
İsimsiz Eczane,41.0330889,29.1031495
İsimsiz Eczane,41.0330019,29.1031656
İsimsiz Eczane,41.0329109,29.1031817
İsimsiz Eczane,41.0328016,29.1031978
Yakamoz Ecanesi,41.0738958,28.7509008
Tan Eczanesi,41.0684021,28.8549148
İstanbul Eczanesi,41.0682326,28.8547761
Armağan Eczanesi,41.0680676,28.6903563
Meydan Eczanesi,41.0356783,28.7883307
Murat Eczanesi,41.0089372,28.9424985
Özaydın Eczanesi,41.0064959,28.9396083
Sibel Eczanesi,41.0064981,28.9394974
Andromeda Eczanesi,40.9916232,29.1066199
HUZUR ECZANESİ,41.0025711,28.8641872
İnci Eczanesi,41.0211336,28.8666230
Sema Eczanesi,41.0638356,29.0033056
Kerem Eczanesi,41.0634356,29.0046486
Aylin Eczanesi,41.0635711,29.0051510
Akdeniz Eczanesi,41.0637867,29.0034273
Güven Eczanesi,41.0635988,29.0039747
Oğuzhan Eczanesi,41.0642377,29.0016249
Asuman Eczanesi,41.0552580,28.9987093
Nispet Eczanesi,41.0553390,28.9980145
Selen Eczanesi,41.0544136,28.9998942
Şişli Çocuk Eczanesi,41.0583563,28.9890948
Şişli Bora Eczanesi,41.0587791,28.9891225
Etfal Eczanesi,41.0579707,28.9882832
Ufuk Eczanesi,41.0580357,28.9882321
Göker Eczanesi,41.0580659,28.9877237
Dorben Eczanesi,41.0649788,29.0045220
Saadet Eczanesi,41.0335683,28.7744860
Eczane NATUREL,41.0392009,28.7794367
Vitamin Eczanesi,41.0329377,28.8065115
Şevval Eczanesi,41.0336173,28.7964997
Selen Eczanesi,41.0327709,28.7988495
Uskumruköy Eczanesi,41.2200591,29.0227540
Gamze Eczanesi,41.1019435,28.7987090
İsimsiz Eczane,40.8922353,29.1829099
İsimsiz Eczane,41.0286598,28.6672973
Vitamin Eczanesi,41.0059029,28.6293794
Küçükev Eczanesi,41.0061115,28.6293672
Emek Eczanesi,41.0070274,28.6424737
Meydan Eczanesi,41.0365154,28.7882560
İsimsiz Eczane,41.0126671,28.9579555
İsimsiz Eczane,41.0260647,28.9400193
Şerin Eczanesi,41.0153183,28.9326292
Geçit Eczanesi,41.0155025,28.9320606
Yelit Eczanesi,41.0059867,29.1457202
Toprak Eczanesi,40.9283843,29.3230350
Mavi Eczanesi,40.9284045,29.3228204
Irmak Eczanesi,41.1876981,29.0397209
Hayat Eczanesi,41.1362309,28.4654414
Ege Eczanesi,41.1363424,28.4654054
Çatalca Eczanesi,41.1364602,28.4653143
Emel Eczanesi,41.1406960,28.4640749
Tuba Eczanesi,41.0033736,28.6284623
Dünya Eczanesi,41.0047050,28.6286080
Çınar Eczanesi,41.0046605,28.6284578
Özge Eczanesi,41.0083185,28.6309263
Ayasofya Eczanesi,41.0081387,28.9759936
İsimsiz Eczane,40.8861899,29.2601440
İsimsiz Eczane,40.8862863,29.2601511
Büyük Eczane,40.8864796,29.2602473
İsimsiz Eczane,40.8865627,29.2602795
İsimsiz Eczane,40.8866560,29.2603010
Koru Eczanesi,40.9770575,29.0928612
Alp Eczanesi,40.9764287,29.0923664
Rüya Eczanesi,40.9763943,29.0923315
Doğa Eczanesi,40.9741752,29.0967622
Boğaziçi Eczanesi,41.0854550,29.0462147
İsimsiz Eczane,41.0125697,28.9768901
İsimsiz Eczane,41.0735698,29.0291376
Şifa,41.0715034,29.0282762
Vitamin Eczanesi,41.0349995,28.7771469
Perran Eczanesi,40.9970598,28.8730205
Dilan Eczanesi,40.9968421,28.8730542
Akseki Eczanesi,40.9958390,28.8705182
Dörtkardeş Eczanesi,40.9949147,28.8731503
Çağatay Eczanesi,40.9941086,28.8702279
Dereboyu Eczanesi,41.0498375,29.0254797
Besiktas Belediyesi,41.0501907,29.0252634
Eczane Yasemin,41.0504786,29.0250951
Hazar Eczanesi,41.0116160,29.0390598
Validebağ Eczanesi,41.0115506,29.0392138
Aşık Eczanesi,41.0112461,29.0398296
Doruk Eczanesi,41.0111233,29.0399906
Yekta Eczanesi,41.0146708,29.0377667
Nihal Eczanesi,41.0498816,29.0911642
Anadolu Eczanesi,41.0442777,29.0947156
Yeşim Eczanesi,41.0443538,29.0950730
Eczane.,41.0443524,29.0953597
İlçim Eczanesi,40.9768818,29.0476574
Bahar Eczanesi,40.9847988,29.0661194
Lale Eczanesi,40.9847828,29.0659636
Fatih Eczanesi,40.9847569,29.0664190
Beyaz Eczanesi,40.9848918,29.0666661
Merkez Eczanesi,41.0089279,28.9527140
Eczane,41.1055891,29.0440035
Esra Eczanesi,41.0033336,28.8647119
Alp Eczanesi,41.0061553,28.8700459
Arda Eczanesi,41.0069614,28.8695475
Ebru Eczanesi,41.0066279,28.8695191
Haznedar Eczanesi,41.0065317,28.8693456
İsimsiz Eczane,41.0341089,28.8921225
Haji selam,40.9940340,28.8474202
üstün eczanesi,41.0414515,28.8546467
Topağacı Eczanesi,41.0509227,29.1069843
Nisan Eczanesi,41.0509040,29.1078301
Melis Eczanesi,41.0042026,28.8713962
İsimsiz Eczane,40.9737318,29.0418832
Sengül,41.1751285,29.6096377
İsimsiz Eczane,41.1742317,29.6090177
İsimsiz Eczane,41.1741085,29.6087926
Park Eczanesi,41.0034856,28.9069106
Mithatpaşa Eczanesi,41.0031324,28.9023256
Karacaköy Eczanesi,41.4037832,28.3840830
İsimsiz Eczane,40.9904311,29.0783302
Site Eczanesi,41.0051131,28.8596180
Didem Eczanesi,41.0079231,28.8644473
Ersoy Eczanesi,41.0072365,28.8611069
Nefes Eczanesi,41.0026398,29.0798854
Mina Eczanesi,40.9923612,29.1226857
Öke Eczanesi,41.0745219,29.0163485
Ayşe Eczanesi,40.9788216,28.7270108
Metro Eczanesi,41.1090188,28.8028098
İpek Eczanesi,40.9798712,28.7947297
Ayfer Eczanesi,41.0491942,29.0261336
Ceren Eczanesi,41.0638189,29.0033837
Zuhal Eczanesi,41.0687279,29.0420084
Yeşilçam Eczanesi,41.0342343,28.9803946
Yücel Eczanesi,41.1429131,28.4584762
Ünlüm Eczanesi,40.9975978,28.7116615
Esentepe Eczanesi,41.0668649,28.9379492
Başar Eczanesi,41.0487411,28.9316772
Yıldıztabya Eczanesi,41.0655587,28.9330211
İstikamet Eczanesi,41.0849787,28.9271073
Akın Eczanesi,40.9806215,29.1251082
Efsane Eczanesi,40.9860378,29.1754845
Nisan Eczanesi,40.9870444,29.1715792
Bal Eczanesi,40.9873880,29.1693763
Edip Eczanesi,40.9867231,29.1715363
Huzur Eczanesi,40.9789146,28.8822527
Yeşilyurt Eczanesi,40.9634729,28.8389478
Balkan Eczanesi,40.9801409,28.8790967
Defne Eczanesi,40.9732950,29.1202670
Birdal Eczanesi,41.0334643,28.7063507
Selçuk Eczanesi,41.0129022,28.8698436
Deniz Eczanesi,40.9768299,29.1073560
Yeni Eczanesi,40.9921728,28.8821403
Ataman Eczanesi,40.9917232,28.8810059
Pınar Eczanesi,40.9790016,28.8551841
Buhara Eczanesi,41.1185960,29.1055620
Ersan Eczanesi,40.9816625,28.7229104
Nilgün Eczanesi,41.0361304,28.9021149
Akay Eczanesi,40.9918945,28.8822240
Nurdoğan Eczanesi,41.0009334,28.8548574
Bizim Burcu Eczanesi,41.0004238,28.8525153
Altın Eczanesi,40.9848111,28.8467372
Ömer Eczanesi,41.0048303,28.8889552
Beyaz Eczanesi,41.0013566,28.8949456
Meva Eczanesi,41.0029407,28.8515788
Doku Eczanesi,41.0071354,28.8588160
Nur Eczanesi,41.0156362,28.8831833
Zeynep Eczanesi,41.0112440,28.8911047
Enes Eczanesi,41.0127578,28.8589367
Üsküp Eczanesi,40.9996818,28.9020738
Sevim Eczanesi,41.0052145,28.8897246
Damla Eczanesi,40.9979463,28.9034609
Şeyma Eczanesi,40.9959328,28.9147019
Çağatay Eczanesi,40.9702104,29.1142565
Yaşar Eczanesi,40.9715216,29.1123900
Sevgiperest Eczanesi,40.9725161,29.1120218
Vural Eczanesi,40.9692751,29.1029376
Geçit Eczanesi,40.9700478,29.1011163
Kalyoncu Eczanesi,40.9714611,29.0983185
Gülüm Eczanesi,41.0330229,28.8636181
Doruk Eczanesi,41.0091778,28.9314176
Billur Eczanesi,41.0125962,28.9315081
Esin Eczanesi,41.0135677,28.9323235
Okyanus Eczanesi,41.0140759,28.9300153
Kevser Eczanesi,41.0096021,28.9334130
Seçil Eczanesi,41.0194717,28.9301739
Kale Eczanesi,41.0205257,28.9292696
Deren Eczanesi,41.0159051,28.9364209
Işık Eczanesi,41.0708248,28.8096982
Yasemin Eczanesi,41.0773065,28.8083763
Kamer Eczanesi,40.9801634,28.7276765
Özer Eczanesi,40.9870516,28.7095346
Sakarya Eczanesi,40.9688418,29.1143728
İnan Eczanesi,40.9806466,28.7930907
Ömür Eczanesi,41.0362901,28.9088025
Okan Eczanesi,41.0505393,29.0241908
Büyük Eczanesi,41.0520743,28.9597865
Deva Eczanesi,41.1789035,28.7463811
Kerem Eczanesi,41.0904352,29.1254606
Deniz Eczanesi,40.9103829,29.0547609
Arzu Eczanesi,41.0337613,28.9656905
Derman Eczanesi,41.0632091,28.7464869
Hülyam Eczanesi,40.9811730,29.1555455
Karakaş Eczanesi,41.0433104,28.8503639
İsimsiz Eczane,41.0634485,28.6856403
Yusuf Eczanesi,41.0295092,28.8262584
Sağlık Eczanesi,41.0447458,28.8504724
Serpil Eczanesi,41.0322330,28.8596240
Aktaş Eczanesi,41.0405548,28.8439553
Melek Eczanesi,41.0316830,28.8604190
Florya Şifa Eczanesi,40.9885884,28.7959707
Altay Eczanesi,40.9881010,28.7803134
Turgut Eczanesi,40.9898520,28.7863010
Florya Eczanesi,40.9698833,28.7962638
Kosova Eczanesi,40.9954267,28.7768353
Sibel Yeşilova Eczanesi,40.9926844,28.7855022
Hayat Eczanesi,40.9881930,28.7818745
Onur Eczanesi,40.9934299,28.7909028
Yıldız Eczanesi,40.9811478,28.7945673
Oral Eczanesi,40.9834829,28.7793373
Kent Eczanesi,41.0009192,28.5407055
Akar Eczanesi,40.9727460,29.1064100
Samur Eczanesi,41.0313556,28.8503385
İrem Eczanesi,41.0641685,28.8529305
Ada Eczanesi,40.9735831,29.1201857
Barış Eczanesi,41.0543988,28.8484719
Balkan Eczanesi,41.0276600,28.8291550
Başakşehir Eczanesi,41.1037202,28.7919118
Belma Eczanesi,41.0345481,28.9763592
Bebek Eczanesi,41.0773802,29.0430724
Nursel Eczanesi,41.0725244,29.0273479
Yeni Eczanesi,41.0538118,29.0229016
İstanbul Eczanesi,41.0510086,29.0079187
Işık Eczanesi,41.0341579,28.9661779
Yasemin Eczanesi,41.0780694,28.9567409
Avşar Eczanesi,41.0106165,28.6960727
Fırat Eczanesi,41.0771203,29.0430108
Salkım Eczanesi,41.0903098,28.8109351
Cem Eczanesi,41.0759758,29.0429473
Aran Eczanesi,41.0030640,28.6975245
Sultanahmet Eczanesi,41.0068795,28.9723146
Cağaloğlu Eczanesi,41.0122547,28.9752611
Kadırga Eczanesi,41.0049082,28.9674921
Yenikapı İskele Eczanesi,41.0027138,28.9570319
Neslihan Eczanesi,41.0144697,28.9760035
Nişancı Eczanesi,41.0060085,28.9610942
Pierloti Eczanesi,41.0057612,28.9687596
Işık Eczanesi,41.0064901,28.9596919
Büyük Eczanesi,41.0142744,28.9748319
Karabiber Eczanesi,41.0047194,28.9671124
Ataman Eczanesi,41.0124997,28.9770432
Pınar Ünsoy Eczanesi,41.0139679,28.9751921
Reyhan Eczanesi,41.0049969,28.9647083
İnan Eczanesi,41.0105344,28.9592251
Dilek Sağlık Eczanesi,41.0324933,28.9036010
